Hospital Name,Address,Website
"Providence Alaska Medical Center","3200 Providence Dr, Anchorage, AK 99508","https://www.providence.org"
"Alaska Native Medical Center","4315 Diplomacy Dr, Anchorage, AK 99508","https://anthc.org/anmc"
"Alaska Regional Hospital","2801 DeBarr Rd, Anchorage, AK 99508","https://alaskaregional.com"
"Fairbanks Memorial Hospital","1650 Cowles St, Fairbanks, AK 99701","https://www.foundationhealth.org"
"Mat-Su Regional Medical Center","2500 S Woodworth Loop, Palmer, AK 99645","https://www.matsuregional.com"
"Bartlett Regional Hospital","3260 Hospital Dr, Juneau, AK 99801","https://www.bartletthospital.org"
"Central Peninsula Hospital","250 Hospital Pl, Soldotna, AK 99669","https://www.cpgh.org"
"Yukon-Kuskokwim Delta Regional Hospital","800 Chief Eddie Hoffman Hwy, Bethel, AK 99559","https://www.ykhc.org"
"PeaceHealth Ketchikan Medical Center","3100 Tongass Ave, Ketchikan, AK 99901","https://www.peacehealth.org"
"South Peninsula Hospital","4300 Bartlett St, Homer, AK 99603","https://www.sphosp.org"
"Providence Kodiak Island Medical Center","1915 E Rezanof Dr, Kodiak, AK 99615","https://www.providence.org"
"Norton Sound Regional Hospital","1000 Greg Kruschek Ave, Nome, AK 99762","https://www.nortonsoundhealth.org"
"Maniilaq Health Center","436 5th Ave, Kotzebue, AK 99752","https://www.maniilaq.org"
"Alaska Psychiatric Institute","3700 Piper St, Anchorage, AK 99508","https://health.alaska.gov"
"St. Elias Specialty Hospital","4800 Cordova St, Anchorage, AK 99503","https://www.st-eliashospital.com"
"Cordova Community Medical Center","602 Chase Ave, Cordova, AK 99574","https://www.cdvcmc.com"
"Petersburg Medical Center","103 Fram St, Petersburg, AK 99833","https://www.pmc-ak.org"
"Seward Providence Medical Center","417 1st Ave, Seward, AK 99664","https://www.providence.org"
"Wrangell Medical Center","232 Wood St, Wrangell, AK 99929","https://searhc.org"
"Sitka Community Hospital","209 Moller Ave, Sitka, AK 99835","https://www.sitkahospital.org"
