Hospital Name,Address,Website
"UAB Hospital","619 19th St S, Birmingham, AL 35233","https://www.uabmedicine.org"
"Huntsville Hospital","101 Sivley Rd SW, Huntsville, AL 35801","https://www.huntsvillehospital.org"
"Mobile Infirmary Medical Center","1701 Spring Hill Ave, Mobile, AL 36604","https://www.infirmaryhealth.org"
"Brookwood Baptist Medical Center","2010 Brookwood Medical Center Dr, Birmingham, AL 35209","https://www.brookwoodbaptisthealth.com"
"DCH Regional Medical Center","809 University Blvd E, Tuscaloosa, AL 35401","https://www.dchsystem.com"
"Jackson Hospital","1725 Pine St, Montgomery, AL 36106","https://www.jackson.org"
"Baptist Medical Center South","2105 E South Blvd, Montgomery, AL 36116","https://www.baptistfirst.org"
"Flowers Hospital","4370 W Main St, Dothan, AL 36305","https://www.flowershospital.com"
"North Baldwin Infirmary","1815 Hand Ave, Bay Minette, AL 36507","https://www.infirmaryhealth.org"
"Riverview Regional Medical Center","601 S 4th St, Gadsden, AL 35901","https://www.riverviewregional.com"
"South Baldwin Regional Medical Center","1613 N McKenzie St, Foley, AL 36535","https://www.southbaldwinrmc.com"
"East Alabama Health","2000 Pepperell Pkwy, Opelika, AL 36801","https://www.eastalabamahealth.org"
"Grandview Medical Center","3690 Grandview Pkwy, Birmingham, AL 35243","https://www.grandviewhealth.com"
"St. Vincent's Birmingham","810 St Vincents Dr, Birmingham, AL 35205","https://healthcare.ascension.org"
"Prattville Baptist Hospital","124 S Memorial Dr, Prattville, AL 36067","https://www.baptistfirst.org"
"Shelby Baptist Medical Center","1000 1st St N, Alabaster, AL 35007","https://www.brookwoodbaptisthealth.com"
"Cullman Regional Medical Center","1912 Alabama Hwy 157, Cullman, AL 35058","https://cullmanregional.com"
"Dekalb Regional Medical Center","200 Medical Center Dr SW, Fort Payne, AL 35968","https://www.dekalbregional.com"
"Helen Keller Hospital","1300 S Montgomery Ave, Sheffield, AL 35660","https://www.helenkeller-hospital.org"
"Thomas Hospital","750 Morphy Ave, Fairhope, AL 36532","https://www.infirmaryhealth.org"
