Hospital Name,Address,Website
"Banner - University Medical Center Phoenix","1111 E McDowell Rd, Phoenix, AZ 85006","https://www.bannerhealth.com"
"Mayo Clinic Hospital","5777 E Mayo Blvd, Phoenix, AZ 85054","https://www.mayoclinic.org"
"St. Joseph's Hospital and Medical Center","350 W Thomas Rd, Phoenix, AZ 85013","https://www.dignityhealth.org"
"Banner - University Medical Center Tucson","1625 N Campbell Ave, Tucson, AZ 85719","https://www.bannerhealth.com"
"HonorHealth Scottsdale Shea Medical Center","9003 E Shea Blvd, Scottsdale, AZ 85260","https://www.honorhealth.com"
"Chandler Regional Medical Center","955 W Frye Rd, Chandler, AZ 85224","https://www.dignityhealth.org"
"Tucson Medical Center","5301 E Grant Rd, Tucson, AZ 85712","https://www.tmcaz.org"
"Banner Desert Medical Center","1400 S Dobson Rd, Mesa, AZ 85202","https://www.bannerhealth.com"
"Abrazo West Campus","13677 W McDowell Rd, Goodyear, AZ 85395","https://www.abrazohealth.com"
"Valleywise Health Medical Center","2601 E Roosevelt St, Phoenix, AZ 85008","https://valleywisehealth.org"
"HonorHealth John C. Lincoln Medical Center","250 E Dunlap Ave, Phoenix, AZ 85020","https://www.honorhealth.com"
"Banner Thunderbird Medical Center","5555 W Thunderbird Rd, Glendale, AZ 85306","https://www.bannerhealth.com"
"Mercy Gilbert Medical Center","3555 S Val Vista Dr, Gilbert, AZ 85297","https://www.dignityhealth.org"
"Flagstaff Medical Center","1200 N Beaver St, Flagstaff, AZ 86001","https://www.nahealth.com"
"Yuma Regional Medical Center","2400 S Avenue A, Yuma, AZ 85364","https://www.yumaregional.org"
"Havasu Regional Medical Center","101 Civic Center Ln, Lake Havasu City, AZ 86403","https://www.havasuregional.com"
"Kingman Regional Medical Center","3269 Stockton Hill Rd, Kingman, AZ 86409","https://www.azkrmc.com"
"Sierra Vista Regional Health Center","300 El Camino Real, Sierra Vista, AZ 85635","https://www.canyonvistamedicalcenter.com"
"Verde Valley Medical Center","269 S Candy Ln, Cottonwood, AZ 86326","https://www.nahealth.com"
"Summit Healthcare Regional Medical Center","2200 E Show Low Lake Rd, Show Low, AZ 85901","https://www.summithealthcare.net"
