Hospital Name,Address,Website
"Kaleida Health (Buffalo General)","100 High St, Buffalo, NY 14203","https://www.kaleidahealth.org"
"St. Joseph's Medical Center","127 S Broadway, Yonkers, NY 10701","https://www.saintjosephs.org"
"BronxCare Hospital Center","1650 Grand Concourse, Bronx, NY 10457","https://www.bronxcare.org"
"Our Lady of Lourdes Memorial Hospital","169 Riverside Dr, Binghamton, NY 13905","https://healthcare.ascension.org"
"Albany Medical Center Hospital","43 New Scotland Ave, Albany, NY 12208","https://www.albanymed.org"
"Jamaica Hospital Medical Center","8900 Van Wyck Expy, Jamaica, NY 11418","https://jamaicahospital.org"
"New York Community Hospital of Brooklyn","2525 Kings Hwy, Brooklyn, NY 11229","https://www.nych.com"
"Vassar Brothers Medical Center","45 Reade Pl, Poughkeepsie, NY 12601","https://www.nuvancehealth.org"
"Mount Sinai Hospital","1 Gustave L. Levy Pl, New York, NY 10029","https://www.mountsinai.org"
"Nassau University Medical Center","2201 Hempstead Tpke, East Meadow, NY 11554","https://www.numc.edu"
"Richmond University Medical Center","355 Bard Ave, Staten Island, NY 10310","https://www.rumcsi.org"
"Newark-Wayne Community Hospital","1200 Driving Park Ave, Newark, NY 14513","https://www.rochesterregional.org"
"Chenango Memorial Hospital","179 N Broad St, Norwich, NY 13815","https://www.uhs.inc"
"South Shore University Hospital (Northwell)","301 E Main St, Bay Shore, NY 11706","https://southshore.northwell.edu"
"Wynn Hospital","111 Hospital Wy, Utica, NY 13502","https://www.mvhealthsystem.org"
"Huntington Hospital (Northwell)","270 Park Ave, Huntington, NY 11743","https://huntington.northwell.edu"
"Mount Sinai West","1000 10th Ave, New York, NY 10019","https://www.mountsinai.org"
"St. Mary's Healthcare","427 Guy Park Ave, Amsterdam, NY 12010","https://www.smha.org"
"Northern Dutchess Hospital","6511 Springbrook Ave, Rhinebeck, NY 12572","https://www.nuvancehealth.org"
"NewYork-Presbyterian/Queens","56-45 Main St, Flushing, NY 11355","https://www.nyp.org/queens"
"Brooklyn Hospital Center","121 DeKalb Ave, Brooklyn, NY 11201","https://www.tbh.org"
"St. Peter's Hospital","315 S Manning Blvd, Albany, NY 12208","https://www.sphp.com"
"Geneva General Hospital","196 North St, Geneva, NY 14456","https://www.flhealth.org"
"Montefiore Medical Center","111 E 210th St, Bronx, NY 10467","https://www.montefiore.org"
"Carthage Area Hospital","1001 Liberty St, Carthage, NY 13619","https://www.carthagehospital.com"
"Niagara Falls Memorial Medical Center","621 10th St, Niagara Falls, NY 14301","https://nfmmc.org"
