Hospital Name,Address,Website
"Mercy Health - Anderson Hospital","7500 State Rd, Cincinnati, OH 45255","https://www.mercy.com"
"UH Samaritan Medical Center","1025 Center St, Ashland, OH 44805","https://www.uhhospitals.org"
"UC Medical Center","234 Goodman St, Cincinnati, OH 45219","https://www.uchealth.com"
"OhioHealth Riverside Methodist Hospital","3535 Olentangy River Rd, Columbus, OH 43214","https://www.ohiohealth.com"
"Southern Ohio Medical Center","1805 27th St, Portsmouth, OH 45662","https://www.somc.org"
"Lima Memorial Health System","1001 Bellefontaine Ave, Lima, OH 45804","https://www.limamemorial.org"
"Cleveland Clinic Union Hospital","659 Boulevard St, Dover, OH 44622","https://my.clevelandclinic.org"
"OhioHealth Marion General Hospital","1000 McKinley Park Dr, Marion, OH 43302","https://www.ohiohealth.com"
"Mount Carmel St. Ann's","500 S Cleveland Ave, Westerville, OH 43081","https://www.mountcarmelhealth.com"
"Wilson Health","915 W Michigan St, Sidney, OH 45365","https://www.wilsonhealth.org"
"OhioHealth O'Bleness Hospital","55 Hospital Dr, Athens, OH 45701","https://www.ohiohealth.com"
"The Jewish Hospital - Mercy Health","4777 E Galbraith Rd, Cincinnati, OH 45236","https://www.mercy.com"
"OhioHealth Grant Medical Center","111 S Grant Ave, Columbus, OH 43215","https://www.ohiohealth.com"
"Louis Stokes Cleveland VA Medical Center","10701 East Blvd, Cleveland, OH 44106","https://www.va.gov/cleveland-health-care"
"Summa Health System - Akron Campus","525 E Market St, Akron, OH 44304","https://www.summahealth.org"
"Firelands Regional Medical Center","1111 Hayes Ave, Sandusky, OH 44870","https://www.firelands.com"
"Kettering Health Greene Memorial","1141 N Monroe Dr, Xenia, OH 45385","https://ketteringhealth.org"
"Cleveland Clinic Akron General","1 Akron General Ave, Akron, OH 44307","https://my.clevelandclinic.org"
"Wood County Hospital","950 W Wooster St, Bowling Green, OH 43402","https://www.woodcountyhospital.org"
"Grand Lake Health System","200 St Clair St, St Marys, OH 45885","https://www.grandlakehealth.org"
"Mount Carmel East","6001 E Broad St, Columbus, OH 43213","https://www.mountcarmelhealth.com"
"Wooster Community Hospital","1761 Beall Ave, Wooster, OH 44691","https://www.woosterhospital.org"
"Genesis Hospital","2951 Maple Ave, Zanesville, OH 43701","https://www.genesishcs.org"
"Cincinnati VA Medical Center","3200 Vine St, Cincinnati, OH 45220","https://www.va.gov/cincinnati-health-care"
"Knox Community Hospital","1330 Coshocton Ave, Mount Vernon, OH 43050","https://www.kch.org"
"UH Parma Medical Center","7007 Powers Blvd, Parma, OH 44129","https://www.uhhospitals.org"
"McCullough-Hyde Memorial Hospital","110 N Poplar St, Oxford, OH 45056","https://www.trihealth.com"
"University of Toledo Medical Center (UTMC)","3000 Arlington Ave, Toledo, OH 43614","https://utmc.utoledo.edu"
"Miami Valley Hospital","1 Wyoming St, Dayton, OH 45409","https://www.premierhealth.com"
"Holzer Medical Center","100 Jackson Pike, Gallipolis, OH 45631","https://www.holzer.org"
"Insight Hospital & Medical Center Trumbull","1350 E Market St, Warren, OH 44483","https://insightadvisorygroup.com"
"Mercy Health - Fairfield Hospital","3000 Mack Rd, Fairfield, OH 45014","https://www.mercy.com"
"Mercer County Community Hospital","800 W Main St, Coldwater, OH 45828","https://www.mchospital.org"
"MetroHealth Main Campus","2500 MetroHealth Dr, Cleveland, OH 44109","https://www.metrohealth.org"
"Mercy Health - St. Elizabeth Youngstown Hospital","1044 Belmont Ave, Youngstown, OH 44504","https://www.mercy.com"
"Fisher-Titus Medical Center","272 Benedict Ave, Norwalk, OH 44857","https://www.fishertitus.org"
"Mercy Health - St. Rita's Medical Center","730 W Market St, Lima, OH 45801","https://www.mercy.com"
"ProMedica Toledo Hospital","2142 N Cove Blvd, Toledo, OH 43606","https://www.promedica.org"
"88th Medical Group (Wright-Patterson AFB)","4881 Sugar Maple Dr, Wright-Patterson AFB, OH 45433","https://wrightpatterson.tricare.mil"
"Cleveland Clinic Mercy Hospital","1320 Mercy Dr NW, Canton, OH 44708","https://my.clevelandclinic.org"
"Van Wert Health","1250 S Washington St, Van Wert, OH 45891","https://www.vanwerthealth.org"
"Fairfield Medical Center","401 N Ewing St, Lancaster, OH 43130","https://www.fmchealth.org"
"UH Geauga Medical Center","13207 Ravenna Rd, Chardon, OH 44024","https://www.uhhospitals.org"
"Atrium Medical Center","1 Medical Center Dr, Franklin, OH 45005","https://www.premierhealth.com"
"Cleveland Clinic Fairview Hospital","18101 Lorain Ave, Cleveland, OH 44111","https://my.clevelandclinic.org"
"UH Portage Medical Center","6847 N Chestnut St, Ravenna, OH 44266","https://www.uhhospitals.org"
"Kettering Health Main Campus","3535 Southern Blvd, Kettering, OH 45429","https://ketteringhealth.org"
"Dayton VA Medical Center","4100 W Third St, Dayton, OH 45428","https://www.va.gov/dayton-health-care"
"East Ohio Regional Hospital","90 N 4th St, Martins Ferry, OH 43935","https://eorh.com"
"Cleveland Clinic Euclid Hospital","18901 Lakeshore Blvd, Euclid, OH 44119","https://my.clevelandclinic.org"
"Aultman Hospital","2600 6th St SW, Canton, OH 44710","https://aultman.org"
"The Ohio State University Wexner Medical Center","410 W 10th Ave, Columbus, OH 43210","https://wexnermedical.osu.edu"
"Mercy Health - Springfield Regional Medical Center","100 Medical Center Dr, Springfield, OH 45504","https://www.mercy.com"
"Cleveland Clinic Lutheran Hospital","1730 W 25th St, Cleveland, OH 44113","https://my.clevelandclinic.org"
"Mercy Health - Tiffin Hospital","45 St Lawrence Dr, Tiffin, OH 44883","https://www.mercy.com"
"Chillicothe VA Medical Center","17273 State Route 104, Chillicothe, OH 45601","https://www.va.gov/chillicothe-health-care"
"Cleveland Clinic Medina Hospital","1000 E Washington St, Medina, OH 44256","https://my.clevelandclinic.org"
"Memorial Health","500 London Ave, Marysville, OH 43040","https://memorialohio.com"
"Blanchard Valley Hospital","1900 S Main St, Findlay, OH 45840","https://www.bvhealthsystem.org"
"East Liverpool City Hospital","425 W 5th St, East Liverpool, OH 43920","https://www.elch.org"
"UH TriPoint Medical Center","7590 Auburn Rd, Concord, OH 44077","https://www.uhhospitals.org"
"The Bellevue Hospital","1400 W Main St, Bellevue, OH 44811","https://www.bellevuehospital.com"
"Coshocton Regional Medical Center","1460 Orange St, Coshocton, OH 43812","https://www.coshoctonhospital.org"
"Mercy Health - St. Vincent Medical Center","2213 Cherry St, Toledo, OH 43608","https://www.mercy.com"
"OhioHealth Mansfield Hospital","335 Glessner Ave, Mansfield, OH 44903","https://www.ohiohealth.com"
"Community Hospitals and Wellness Centers - Bryan","433 W High St, Bryan, OH 43506","https://www.chwchospital.org"
"UH St. John Medical Center","29000 Center Ridge Rd, Westlake, OH 44145","https://www.uhhospitals.org"
"Ashtabula County Medical Center","2420 Lake Ave, Ashtabula, OH 44004","https://www.acmcmedicine.org"
"Alliance Community Hospital","200 E State St, Alliance, OH 44601","https://www.achosp.org"
"Kettering Health Hamilton (Fort Hamilton)","630 Eaton Ave, Hamilton, OH 45013","https://ketteringhealth.org"
"Kettering Health Dayton (Grandview)","405 W Grand Ave, Dayton, OH 45405","https://ketteringhealth.org"
"Good Samaritan Hospital","375 Dixmyth Ave, Cincinnati, OH 45220","https://www.trihealth.com"
"UH Cleveland Medical Center","11100 Euclid Ave, Cleveland, OH 44106","https://www.uhhospitals.org"
"Cleveland Clinic Marymount Hospital","12300 McCracken Rd, Garfield Heights, OH 44125","https://my.clevelandclinic.org"
"Cleveland Clinic South Pointe Hospital","20000 Harvard Rd, Warrensville Heights, OH 44122","https://my.clevelandclinic.org"
"UH Elyria Medical Center","630 E River St, Elyria, OH 44035","https://www.uhhospitals.org"
"Marietta Memorial Hospital","401 Matthew St, Marietta, OH 45750","https://www.mhsystem.org"
"Pomerene Hospital","981 Wooster Rd, Millersburg, OH 44654","https://www.pomerenehospital.org"
"Western Reserve Hospital","1900 23rd St, Cuyahoga Falls, OH 44223","https://www.westernreservehospital.org"
"OhioHealth Doctors Hospital","5100 W Broad St, Columbus, OH 43228","https://www.ohiohealth.com"
"Southwest General Health Center","18697 Bagley Rd, Middleburg Heights, OH 44130","https://www.swgeneral.com"
"ProMedica Memorial Hospital (Fremont)","715 S Taft Ave, Fremont, OH 43420","https://www.promedica.org"
"Adena Regional Medical Center","272 Hospital Rd, Chillicothe, OH 45601","https://www.adena.org"
"Mercy Health - St. Joseph Warren Hospital","667 Eastland Ave SE, Warren, OH 44484","https://www.mercy.com"
"The Christ Hospital","2139 Auburn Ave, Cincinnati, OH 45219","https://www.thechristhospital.com"
