Hospital Name,Address,Website
"Geisinger-Community Medical Center","1800 Mulberry St, Scranton, PA 18510","https://www.geisinger.org"
"UPMC McKeesport","1500 Fifth Ave, McKeesport, PA 15132","https://www.upmc.com"
"Geisinger-Bloomsburg Hospital","549 Fair St, Bloomsburg, PA 17815","https://www.geisinger.org"
"Penn State Health Holy Spirit Medical Center","503 N 21st St, Camp Hill, PA 17011","https://www.pennstatehealth.org"
"Geisinger Medical Center","100 N Academy Ave, Danville, PA 17822","https://www.geisinger.org"
"Saint Vincent Hospital (AHN)","232 W 25th St, Erie, PA 16544","https://www.ahn.org"
"Jefferson Lansdale Hospital","100 Medical Campus Dr, Lansdale, PA 19446","https://www.jeffersonhealth.org"
"WellSpan Evangelical Community Hospital","1 Hospital Dr, Lewisburg, PA 17837","https://www.evanhospital.com"
"UPMC Jameson","1211 Wilmington Ave, New Castle, PA 16105","https://www.upmc.com"
"James E. Van Zandt VA Medical Center","2907 Pleasant Valley Blvd, Altoona, PA 16602","https://www.va.gov/altoona-health-care"
"Kensington Hospital","136 Diamond St, Philadelphia, PA 19122","https://kensingtonhospital.org"
"Temple Health - Chestnut Hill Hospital","8835 Germantown Ave, Philadelphia, PA 19118","https://www.templehealth.org"
"Temple University Hospital","3401 N Broad St, Philadelphia, PA 19140","https://www.templehealth.org"
"UPMC Mercy","1400 Locust St, Pittsburgh, PA 15219","https://www.upmc.com"
"Lehigh Valley Hospital–Schuylkill E. Norwegian St.","700 E Norwegian St, Pottsville, PA 17901","https://www.lvhn.org"
"Allegheny Valley Hospital (AHN)","1301 Carlisle St, Natrona Heights, PA 15065","https://www.ahn.org"
"St. Luke's Hospital - Upper Bucks Campus","3000 St Luke's Way, Quakertown, PA 18951","https://www.slhn.org"
"Heritage Valley Beaver","1000 Dutch Ridge Rd, Beaver, PA 15009","https://www.heritagevalley.org"
"Heritage Valley Sewickley","720 Blackburn Rd, Sewickley, PA 15143","https://www.heritagevalley.org"
"UPMC Somerset","225 S Center Ave, Somerset, PA 15501","https://www.upmc.com"
"WVU Medicine Uniontown Hospital","500 W Berkeley St, Uniontown, PA 15401","https://wvumedicine.org/uniontown"
"Penn Washington Hospital","155 Wilson Ave, Washington, PA 15301","https://whs.org"
"Reading Hospital (Tower Health)","420 S 5th Ave, West Reading, PA 19611","https://www.towerhealth.org"
"UPMC Williamsport","700 High St, Williamsport, PA 17701","https://www.upmc.com"
"WellSpan York Hospital","1001 S George St, York, PA 17403","https://www.wellspan.org"
"Geisinger-Lewistown Hospital","400 Highland Ave, Lewistown, PA 17044","https://www.geisinger.org"
"St. Luke's University Hospital - Bethlehem","801 Ostrum St, Bethlehem, PA 18015","https://www.slhn.org"
"Coatesville VA Medical Center","1400 Blackhorse Hill Rd, Coatesville, PA 19320","https://www.va.gov/coatesville-health-care"
"Allegheny General Hospital (AHN)","320 E North Ave, Pittsburgh, PA 15212","https://www.ahn.org"
"Penn Highlands Huntingdon","1225 Warm Springs Ave, Huntingdon, PA 16652","https://www.phhealthcare.org"
"Grand View Health","700 Lawn Ave, Sellersville, PA 18960","https://www.gvh.org"
"UPMC Carlisle","361 Alexander Spring Rd, Carlisle, PA 17015","https://www.upmc.com"
"Erie VA Medical Center","135 E 38th St, Erie, PA 16504","https://www.va.gov/erie-health-care"
"Conemaugh Nason Medical Center","105 Nason Dr, Roaring Spring, PA 16673","https://www.conemaugh.org"
"UPMC Hamot","201 State St, Erie, PA 16550","https://www.upmc.com"
