Hospital Name,Address,Website
"Jackson-Madison County General Hospital","620 Skyline Dr, Jackson, TN 38301","https://www.wth.org"
"Highpoint Health-Sumner with Ascension Saint Thomas","555 Hartsville Pike, Gallatin, TN 37066","https://www.highpointhealthsystem.com"
"TriStar Skyline Medical Center","3441 Dickerson Pike, Nashville, TN 37207","https://tristarhealth.com"
"Unity Medical Center","482 Interstate Dr, Manchester, TN 37355","https://unitymedicalcenter.com"
"Henderson County Community Hospital","200 W Church St, Lexington, TN 38351","https://www.wth.org"
"Cumberland Medical Center","421 S Main St, Crossville, TN 38555","https://www.cmchealthcare.org"
"Blount Memorial Hospital","907 E Lamar Alexander Pkwy, Maryville, TN 37804","https://www.blountmemorial.org"
"Ballad Health Bristol Regional Medical Center","1 Medical Park Blvd, Bristol, TN 37620","https://www.balladhealth.org"
"University of Tennessee Medical Center","1924 Alcoa Hwy, Knoxville, TN 37920","https://www.utmedicalcenter.org"
"Baptist Memorial Hospital - Carroll County","631 R.B. Wilson Dr, Huntingdon, TN 38344","https://www.baptistonline.org"
"Ballad Health Holston Valley Medical Center","130 W Ravine Rd, Kingsport, TN 37660","https://www.balladhealth.org"
"Ballad Health Sycamore Shoals Hospital","1501 W Elk Ave, Elizabethton, TN 37643","https://www.balladhealth.org"
"Southern Tennessee Regional Health System Pulaski","1265 E College St, Pulaski, TN 38478","https://www.southerntennessee.com"
"Williamson Medical Center","4321 Carothers Pkwy, Franklin, TN 37067","https://williamsonmedicalcenter.org"
"Morristown-Hamblen Healthcare System","908 W 4th N St, Morristown, TN 37814","https://www.morristownhamblen.com"
"Roane Medical Center","8045 Roane Medical Center Dr, Harriman, TN 37748","https://www.roanemedical.com"
"Ballad Health Hawkins County Memorial Hospital","851 W Main St, Rogersville, TN 37857","https://www.balladhealth.org"
"Tennova Healthcare - LaFollette Medical Center","923 E Central Ave, LaFollette, TN 37766","https://www.tennova.com"
"Methodist Medical Center of Oak Ridge","990 Oak Ridge Turnpike, Oak Ridge, TN 37830","https://www.mmcoakridge.com"
"Tennova Healthcare - Clarksville","651 Dunlop Ln, Clarksville, TN 37040","https://www.tennova.com"
"Vanderbilt University Medical Center","1211 Medical Center Dr, Nashville, TN 37232","https://www.vumc.org"
"TriStar Horizon Medical Center","111 Hwy 70 E, Dickson, TN 37055","https://tristarhealth.com"
"Baptist Memorial Hospital - Memphis","6019 Walnut Grove Rd, Memphis, TN 38120","https://www.baptistonline.org"
"Methodist University Hospital","1265 Union Ave, Memphis, TN 38104","https://www.methodisthealth.org"
"Ballad Health Greeneville Community Hospital","1420 Tusculum Blvd, Greeneville, TN 37745","https://www.balladhealth.org"
"Ascension Saint Thomas Rutherford","1700 Medical Center Pkwy, Murfreesboro, TN 37129","https://healthcare.ascension.org"
"Tennova Healthcare - Jefferson Memorial Hospital","110 Hospital Dr, Jefferson City, TN 37760","https://www.tennova.com"
"Claiborne Medical Center","1850 Old Knoxville Hwy, Tazewell, TN 37879","https://www.claibornemedicalcenter.com"
"Southern Tennessee Regional Health System Winchester","185 Hospital Rd, Winchester, TN 37398","https://www.southerntennessee.com"
"Cookeville Regional Medical Center","1 Medical Center Blvd, Cookeville, TN 38501","https://www.crmchealth.org"
"West Tennessee Healthcare Milan Hospital","4039 Highland St, Milan, TN 38358","https://www.wth.org"
"West Tennessee Healthcare Volunteer Hospital","161 Mt Pelia Rd, Martin, TN 38237","https://www.wth.org"
"Ballad Health Johnson City Medical Center","400 N State of Franklin Rd, Johnson City, TN 37604","https://www.balladhealth.org"
"TriStar NorthCrest Medical Center","100 NorthCrest Dr, Springfield, TN 37172","https://tristarhealth.com"
"Starr Regional Medical Center - Athens","1114 W Madison Ave, Athens, TN 37303","https://www.starrregional.com"
"West Tennessee Healthcare Dyersburg Hospital","400 Tickle St, Dyersburg, TN 38024","https://www.wth.org"
"Maury Regional Medical Center","1224 Trotwood Ave, Columbia, TN 38401","https://www.mauryregional.com"
"LeConte Medical Center","742 Middle Creek Rd, Sevierville, TN 37862","https://www.lecontemedicalcenter.com"
"Ascension Saint Thomas West Hospital","4220 Harding Pike, Nashville, TN 37205","https://healthcare.ascension.org"
"Sweetwater Hospital Association","304 Wright St, Sweetwater, TN 37874","https://sweetwaterhospital.org"
"CHI Memorial Hospital","2525 de Sales Ave, Chattanooga, TN 37404","https://www.memorial.org"
"Lincoln Medical Center","106 Medical Center Blvd, Fayetteville, TN 37334","https://www.limc.org"
"Erlanger Baroness Hospital","975 E 3rd St, Chattanooga, TN 37403","https://www.erlanger.org"
"Hardin Medical Center","935 Wayne Rd, Savannah, TN 38372","https://www.hardinmedicalcenter.org"
"Fort Loudoun Medical Center","550 Fort Loudoun Medical Center Dr, Lenoir City, TN 37772","https://www.fortloudounmedicalcenter.com"
"Nashville General Hospital","1818 Albion St, Nashville, TN 37208","https://nashvillegeneral.org"
"Tennova Healthcare - North Knoxville Medical Center","7565 Dannaher Dr, Powell, TN 37849","https://www.tennova.com"
"Fort Sanders Regional Medical Center","1901 Clinch Ave, Knoxville, TN 37916","https://www.fsregional.com"
"Baptist Memorial Hospital - Union City","1201 Bishop St, Union City, TN 38261","https://www.baptistonline.org"
"Baptist Memorial Hospital - Tipton","1995 Hwy 51 S, Covington, TN 38019","https://www.baptistonline.org"
"Henry County Medical Center","301 Tyson Ave, Paris, TN 38242","https://www.hcmc-tn.org"
"Vanderbilt Bedford Hospital","2835 Hwy 231 N, Shelbyville, TN 37160","https://www.vanderbiltbedfordhospital.com"
"Memphis VA Medical Center","1030 Jefferson Ave, Memphis, TN 38104","https://www.va.gov/memphis-health-care"
"Vanderbilt Tullahoma-Harton Hospital","1801 N Jackson St, Tullahoma, TN 37388","https://www.vanderbilttullahomahartonhospital.com"
"Ascension Saint Thomas DeKalb","520 Herman St, Smithville, TN 37166","https://healthcare.ascension.org"
"TriStar Summit Medical Center","5655 Frist Blvd, Hermitage, TN 37076","https://tristarhealth.com"
"Ascension Saint Thomas River Park","1559 Sparta St, McMinnville, TN 37110","https://healthcare.ascension.org"
"Regional One Health","877 Jefferson Ave, Memphis, TN 38103","https://www.regionalonehealth.org"
"Tennova Healthcare - Newport Medical Center","435 2nd St, Newport, TN 37821","https://www.tennova.com"
"Parkridge Medical Center","2333 McCallie Ave, Chattanooga, TN 37404","https://parkridgemedicalcenter.com"
"Delta Specialty Hospital","3000 Getwell Rd, Memphis, TN 38118","https://deltaspecialtyhospital.com"
"TriStar Centennial Medical Center","2300 Patterson St, Nashville, TN 37203","https://tristarhealth.com"
"James H. Quillen VA Medical Center","Corner of Lamont & Veterans Way, Mountain Home, TN 37684","https://www.va.gov/mountain-home-health-care"
"Parkwest Medical Center","9352 Park West Blvd, Knoxville, TN 37923","https://www.treatedatparkwest.com"
"Southern Tennessee Regional Health System Lawrenceburg","1607 Main St, Lawrenceburg, TN 38464","https://www.southerntennessee.com"
"Ballad Health Indian Path Community Hospital","2000 Brookside Dr, Kingsport, TN 37660","https://www.balladhealth.org"
"Alvin C. York VA Medical Center","3400 Lebanon Pike, Murfreesboro, TN 37129","https://www.va.gov/tennessee-valley-health-care"
"Saint Francis Hospital - Memphis","5959 Park Ave, Memphis, TN 38119","https://www.saintfrancishosp.com"
"Ballad Health Franklin Woods Community Hospital","301 Med Tech Pkwy, Johnson City, TN 37604","https://www.balladhealth.org"
"Tennova Healthcare - Cleveland","2305 Chambliss Ave NW, Cleveland, TN 37311","https://www.tennova.com"
"Livingston Regional Hospital","315 Oak St, Livingston, TN 38570","https://www.livingstonregionalhospital.com"
"Nashville VA Medical Center","1310 24th Ave S, Nashville, TN 37212","https://www.va.gov/tennessee-valley-health-care"
"Ascension Saint Thomas Highlands","401 Sewell Dr, Sparta, TN 38583","https://healthcare.ascension.org"
