Hospital Name,Address,Website
"Intermountain Health Utah Valley Hospital","1034 N 500 W, Provo, UT 84604","https://intermountainhealthcare.org"
"Holy Cross Hospital - Salt Lake","1050 E South Temple, Salt Lake City, UT 84102","https://holycrossutah.org"
"Intermountain Health McKay-Dee Hospital","4401 Harrison Blvd, Ogden, UT 84403","https://intermountainhealthcare.org"
"Ogden Regional Medical Center","5475 S 500 E, Ogden, UT 84405","https://ogdenregional.com"
"Intermountain Health LDS Hospital","8th Ave & C St, Salt Lake City, UT 84143","https://intermountainhealthcare.org"
"Intermountain Health Cedar City Hospital","1303 N Main St, Cedar City, UT 84720","https://intermountainhealthcare.org"
"University of Utah Hospital and Clinics","50 N Medical Dr, Salt Lake City, UT 84132","https://healthcare.utah.edu"
"Intermountain Medical Center","5121 S Cottonwood St, Murray, UT 84107","https://intermountainhealthcare.org"
"Castleview Hospital","300 N Hospital Dr, Price, UT 84501","https://www.castleviewhospital.net"
"Mountain View Hospital","1000 E 100 N, Payson, UT 84651","https://mountainviewhospital.com"
"Mountain West Medical Center","2055 N Main St, Tooele, UT 84074","https://www.mountainwestmc.com"
"Intermountain Health Logan Regional Hospital","500 E 1400 N, Logan, UT 84341","https://intermountainhealthcare.org"
"Brigham City Community Hospital","950 Medical Dr, Brigham City, UT 84302","https://brighamcityhospital.com"
"Uintah Basin Medical Center","250 W 300 N, Roosevelt, UT 84066","https://ubmc.org"
"Intermountain Health St. George Regional Hospital","1380 E Medical Center Dr, St. George, UT 84790","https://intermountainhealthcare.org"
"Intermountain Health American Fork Hospital","170 N 1100 E, American Fork, UT 84003","https://intermountainhealthcare.org"
"Intermountain Health Sevier Valley Hospital","1000 N Main St, Richfield, UT 84701","https://intermountainhealthcare.org"
"George E. Wahlen VA Medical Center","500 Foothill Dr, Salt Lake City, UT 84148","https://www.va.gov/salt-lake-city-health-care"
"Ashley Regional Medical Center","150 W 100 N, Vernal, UT 84078","https://www.ashleyregional.com"
"Intermountain Health Bear River Valley Hospital","905 N 1000 W, Tremonton, UT 84337","https://intermountainhealthcare.org"
"Holy Cross Hospital - Davis","1600 W Antelope Dr, Layton, UT 84041","https://holycrossutah.org"
"Lakeview Hospital","630 E Medical Dr, Bountiful, UT 84010","https://lakeviewhospital.com"
"Intermountain Health Orem Community Hospital","331 N 400 W, Orem, UT 84057","https://intermountainhealthcare.org"
"Intermountain Health Alta View Hospital","9660 S 1300 E, Sandy, UT 84094","https://intermountainhealthcare.org"
"St. Mark's Hospital","1200 E 3900 S, Salt Lake City, UT 84124","https://stmarkshospital.com"
"Holy Cross Hospital - Jordan Valley","3580 W 9000 S, West Jordan, UT 84088","https://holycrossutah.org"
"Timpanogos Regional Hospital","750 W 800 N, Orem, UT 84057","https://timpanogosregionalmedicalcenter.com"
"Cache Valley Hospital","2380 N 400 E, North Logan, UT 84341","https://cachevalleyhospital.com"
"Intermountain Health Park City Hospital","900 Round Valley Dr, Park City, UT 84060","https://intermountainhealthcare.org"
"Intermountain Health Riverton Hospital","3741 W 12600 S, Riverton, UT 84065","https://intermountainhealthcare.org"
"Lone Peak Hospital","11925 S State St, Draper, UT 84020","https://lonepeakhospital.com"
"Intermountain Health Layton Hospital","201 W Layton Pkwy, Layton, UT 84041","https://intermountainhealthcare.org"
"Intermountain Health Spanish Fork Hospital","765 E Market Pl Dr, Spanish Fork, UT 84660","https://intermountainhealthcare.org"
"Intermountain Health Delta Community Hospital","126 White Sage Ave, Delta, UT 84624","https://intermountainhealthcare.org"
"Intermountain Health Fillmore Community Hospital","700 S Hwy 99, Fillmore, UT 84631","https://intermountainhealthcare.org"
"Moab Regional Hospital","450 Williams Way, Moab, UT 84532","https://mrhospital.org"
"Intermountain Health Sanpete Valley Hospital","1100 S Medical Dr, Mt Pleasant, UT 84647","https://intermountainhealthcare.org"
"Central Valley Medical Center","48 W 1500 N, Nephi, UT 84648","https://www.cvmc.org"
"Milford Memorial Hospital","800 N Main St, Milford, UT 84751","https://intermountainhealthcare.org"
"Gunnison Valley Hospital","64 E 100 N, Gunnison, UT 84634","https://gvhospital.org"
"Intermountain Health Heber Valley Hospital","454 E Medical Way, Heber City, UT 84032","https://intermountainhealthcare.org"
"San Juan Hospital","380 W 100 N, Monticello, UT 84535","https://sanjuanhealth.org"
"Kane County Hospital","355 N Main St, Kanab, UT 84741","https://kchosp.net"
"Blue Mountain Hospital","802 S 200 W, Blanding, UT 84511","https://bmhutah.org"
"Intermountain Health Garfield Memorial Hospital","200 N 400 E, Panguitch, UT 84759","https://intermountainhealthcare.org"
"Beaver Valley Hospital","1109 N 100 W, Beaver, UT 84713","https://beavervalleyhospital.org"
"Intermountain Primary Children's Hospital","100 N Mario Capecchi Dr, Salt Lake City, UT 84113","https://intermountainhealthcare.org"
"Utah State Hospital","1300 E Center St, Provo, UT 84606","https://ush.utah.gov"
"Marian Center (Holy Cross)","1050 E South Temple, Salt Lake City, UT 84102","https://holycrossutah.org"
"Salt Lake Behavioral Health","3802 S 700 E, Salt Lake City, UT 84106","https://saltlakebehavioralhealth.com"
"Aspen Grove Behavioral Hospital","1025 E 100 N, Orem, UT 84097","https://aspengrovebehavioral.com"
