Hospital Name,Address,Website
"Providence St. Mary Medical Center","401 W Poplar St, Walla Walla, WA 99362","https://www.providence.org"
"Skagit Valley Hospital","1415 E Kincaid St, Mount Vernon, WA 98273","https://www.skagitvalleyhealth.org"
"Virginia Mason Medical Center","925 Seneca St, Seattle, WA 98101","https://www.vmfh.org"
"Island Health","1211 24th St, Anacortes, WA 98221","https://islandhealth.org"
"University of Washington Medical Center","1959 NE Pacific St, Seattle, WA 98195","https://www.uwmedicine.org"
"St. Anne Hospital (Highline)","16251 Sylvester Rd SW, Burien, WA 98166","https://www.vmfh.org"
"Providence Regional Medical Center Everett","1700 13th St, Everett, WA 98201","https://www.providence.org"
"MultiCare Auburn Medical Center","202 N Division St, Auburn, WA 98001","https://www.multicare.org"
"Confluence Health Hospital","1201 S Miller St, Wenatchee, WA 98801","https://www.confluencehealth.org"
"Providence Centralia Hospital","914 S Scheuber Rd, Centralia, WA 98531","https://www.providence.org"
"St. Clare Hospital","11315 Bridgeport Way SW, Lakewood, WA 98499","https://www.vmfh.org"
"Providence St. Peter Hospital","413 Lilly Rd NE, Olympia, WA 98506","https://www.providence.org"
"Swedish Cherry Hill Campus","500 17th Ave, Seattle, WA 98122","https://www.swedish.org"
"Swedish Edmonds Hospital","21601 76th Ave W, Edmonds, WA 98026","https://www.swedish.org"
"Swedish First Hill Campus","747 Broadway, Seattle, WA 98122","https://www.swedish.org"
"PeaceHealth St. Joseph Medical Center","2901 Squalicum Pkwy, Bellingham, WA 98225","https://www.peacehealth.org"
"Harbor Regional Health (Grays Harbor)","915 Anderson Dr, Aberdeen, WA 98520","https://www.ghch.wa.org"
"Samaritan Healthcare","801 E Wheeler Rd, Moses Lake, WA 98837","https://www.samaritanhealthcare.com"
"MultiCare Yakima Memorial Hospital","2811 Tieton Dr, Yakima, WA 98902","https://www.multicare.org"
"Astria Toppenish Hospital","502 W 4th Ave, Toppenish, WA 98948","https://www.astria.health"
"St. Michael Medical Center (Harrison)","1800 NW Myhre Rd, Silverdale, WA 98383","https://www.vmfh.org"
"PeaceHealth St. John Medical Center","1615 Delaware St, Longview, WA 98632","https://www.peacehealth.org"
"MultiCare Deaconess Hospital","800 W 5th Ave, Spokane, WA 99204","https://www.multicare.org"
"PeaceHealth Southwest Medical Center","400 NE Mother Joseph Pl, Vancouver, WA 98664","https://www.peacehealth.org"
"Overlake Medical Center","1035 116th Ave NE, Bellevue, WA 98004","https://www.overlakehospital.org"
"Kaiser Permanente Capitol Hill","201 16th Ave E, Seattle, WA 98112","https://wa.kaiserpermanente.org"
